"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Franklin","City of Pasco District 5 Councilmember, District 5, Position 5","Russell E Glatt","","258","15.5515","City/Town"
"Franklin","City of Pasco District 5 Councilmember, District 5, Position 5","David Milne","","499","30.0784","City/Town"
"Franklin","City of Pasco District 5 Councilmember, District 5, Position 5","Rebecca Francik","","635","38.2761","City/Town"
"Garfield","COUNTY WIDE DISTRICT 01 COUNTY SHERIFF","Steve Krouse","(Prefers Republican Party)","437","50.9918","County"
"Garfield","COUNTY WIDE DISTRICT 01 COUNTY SHERIFF","Drew W. Hyer","(Prefers Republican Party)","420","49.0082","County"
"Grant","Moses Lake School Dist #161 SCHOOL DIRECTOR #04","Elliott Goodrich","","1617","37.8866","School"
"Grant","Moses Lake School Dist #161 SCHOOL DIRECTOR #04","Kevin J Donovan","","1870","43.8144","School"
"Grant","Moses Lake School Dist #161 SCHOOL DIRECTOR #04","James Liebrecht","","781","18.299","School"
"Grant","Wilson Creek School Dist #167 SCHOOL DIRECTOR #05 AL","Ron Lesser","","61","43.5714","School"
"Grant","Wilson Creek School Dist #167 SCHOOL DIRECTOR #05 AL","Lane Ribail ","","42","30","School"
"Grant","Wilson Creek School Dist #167 SCHOOL DIRECTOR #05 AL","Teresa (Teri) Garay","","37","26.4286","School"
"Grant","Grant County Fire Dist #10 Proposition No. 1 RESOLUTION PROVIDING FOR THE SUBMISSION OF LEVY","Approved","","144","58.7755","Fire"
"Grant","Grant County Fire Dist #10 Proposition No. 1 RESOLUTION PROVIDING FOR THE SUBMISSION OF LEVY","Rejected","","101","41.2245","Fire"
"Grant","Grant County Fire Dist #10 Proposition No. 2 EMERGENCY MEDICAL CARE AND SERVICE LEVY","Yes","","172","69.9187","Fire"
"Grant","Grant County Fire Dist #10 Proposition No. 2 EMERGENCY MEDICAL CARE AND SERVICE LEVY","No","","74","30.0813","Fire"
"Grant","Grant County  Fire Dist #11 Proposition No. 1 RESOLUTION PROVIDING FOR THE SUBMISSION OF LEVY","Approved ","","176","61.9718","Fire"
